dataset,d,n,seed,method,train_acc,train_f1,train_auc,test_acc,test_f1,test_auc,fit_time_s,timestamp
breast_cancer,9,499,1,mlp,0.9739,0.9717,0.9953,0.955,0.9493,0.995,0.205,2026-06-24T05:17:33.577216
breast_cancer,9,499,1,rbf_exact,0.996,0.9956,1.0,0.95,0.9435,0.9905,0.003,2026-06-24T05:17:33.603445
breast_cancer,9,499,1,arch_proposed,0.9719,0.9695,0.9938,0.955,0.9489,0.9967,0.43,2026-06-24T05:17:39.812000
breast_cancer,9,499,2,linear_svm,0.98,0.9779,0.9973,0.935,0.9278,0.9895,0.002,2026-06-24T05:17:39.870839
breast_cancer,9,499,2,grad_boost,1.0,1.0,1.0,0.96,0.956,0.9894,0.216,2026-06-24T05:17:40.110121
breast_cancer,9,499,2,shallow_rff,0.998,0.9978,0.9998,0.945,0.9385,0.9868,0.032,2026-06-24T05:17:40.200996
breast_cancer,9,499,2,mlp,0.98,0.9781,0.9969,0.955,0.9513,0.9893,0.308,2026-06-24T05:17:40.541209
breast_cancer,9,499,2,rbf_exact,0.996,0.9956,1.0,0.94,0.9332,0.9851,0.004,2026-06-24T05:17:40.569272
breast_cancer,9,499,2,arch_proposed,0.978,0.9758,0.9972,0.955,0.951,0.9906,0.323,2026-06-24T05:17:46.334824
ionosphere,34,151,0,linear_svm,0.9735,0.9712,0.9979,0.87,0.8552,0.863,0.003,2026-06-24T05:17:46.365023
ionosphere,34,151,0,grad_boost,1.0,1.0,1.0,0.92,0.9121,0.9625,0.155,2026-06-24T05:17:46.538521
ionosphere,34,151,0,shallow_rff,0.947,0.944,1.0,0.885,0.8814,0.9878,0.029,2026-06-24T05:17:46.605530
ionosphere,34,151,0,mlp,0.8808,0.8626,0.9639,0.88,0.861,0.9208,0.1,2026-06-24T05:17:46.736548
ionosphere,34,151,0,rbf_exact,0.9868,0.9856,0.9998,0.96,0.9563,0.9824,0.002,2026-06-24T05:17:46.757813
ionosphere,34,151,0,arch_proposed,0.9272,0.919,0.9807,0.94,0.9341,0.9807,0.171,2026-06-24T05:17:49.129664
ionosphere,34,151,1,linear_svm,0.9868,0.9855,0.9996,0.845,0.8323,0.8432,0.003,2026-06-24T05:17:49.194551
ionosphere,34,151,1,grad_boost,1.0,1.0,1.0,0.92,0.9132,0.9638,0.146,2026-06-24T05:17:49.361679
ionosphere,34,151,1,shallow_rff,0.9934,0.9928,0.9994,0.95,0.9447,0.9842,0.021,2026-06-24T05:17:49.439614
ionosphere,34,151,1,mlp,0.894,0.8804,0.9528,0.86,0.8392,0.9277,0.111,2026-06-24T05:17:49.578368
ionosphere,34,151,1,rbf_exact,0.9934,0.9928,0.9994,0.955,0.9504,0.985,0.002,2026-06-24T05:17:49.602548
ionosphere,34,151,1,arch_proposed,0.9272,0.9182,0.9836,0.925,0.9161,0.9808,0.183,2026-06-24T05:17:52.072863
ionosphere,34,151,2,linear_svm,0.9735,0.9714,0.9989,0.865,0.8429,0.8251,0.003,2026-06-24T05:17:52.142917
ionosphere,34,151,2,grad_boost,1.0,1.0,1.0,0.92,0.9102,0.9408,0.144,2026-06-24T05:17:52.312532
