dataset,n_train,n_test,d,n_classes,strategy,m,L,n_per_svm,W_cols,mean_cos_sim,train_acc,test_acc,note,time_s
CoverType,50000,20000,54,7,B_phi_featpart,10,3,5000,70,0.0,0.7637,0.761,,102.3
CoverType,50000,20000,54,7,B_phi_featpart,50,1,1000,350,0.0,0.7647,0.7601,,133.7
CoverType,50000,20000,54,7,B_phi_featpart,50,2,1000,350,0.0,0.7663,0.7612,,95.8
CoverType,50000,20000,54,7,B_phi_featpart,50,3,1000,350,0.0,0.7643,0.7584,,92.8
CoverType,100000,20000,54,7,A_baseline_fullinput_m1,1,1,100000,,,0.7931,0.7859,,183.2
CoverType,100000,20000,54,7,A_baseline_fullinput_m1,1,2,100000,,,0.803,0.7935,,242.5
CoverType,100000,20000,54,7,A_baseline_fullinput_m1,1,3,100000,,,0.8076,0.7979,,292.5
CoverType,100000,20000,54,7,B_phi_featpart,1,1,100000,7,1.0,0.7931,0.7859,,182.2
CoverType,100000,20000,54,7,B_phi_featpart,1,2,100000,7,1.0,0.802,0.7934,,237.0
CoverType,100000,20000,54,7,B_phi_featpart,1,3,100000,7,1.0,0.8061,0.7965,,279.8
CoverType,100000,20000,54,7,B_phi_featpart,10,1,10000,70,0.0,0.74,0.7381,,104.7
CoverType,100000,20000,54,7,B_phi_featpart,10,2,10000,70,0.0,0.7542,0.7518,,170.0
CoverType,100000,20000,54,7,B_phi_featpart,10,3,10000,70,0.0,0.7628,0.7584,,231.1
CoverType,100000,20000,54,7,B_phi_featpart,50,1,2000,350,0.0,0.763,0.7603,,238.3
CoverType,100000,20000,54,7,B_phi_featpart,50,2,2000,350,0.0,0.7658,0.7602,,228.9
CoverType,100000,20000,54,7,B_phi_featpart,50,3,2000,350,0.0,0.7641,0.7579,,252.0
CoverType,200000,20000,54,7,A_baseline_fullinput_m1,1,1,200000,,,0.7888,0.784,,368.0
CoverType,200000,20000,54,7,A_baseline_fullinput_m1,1,2,200000,,,0.7974,0.7919,,474.4
CoverType,200000,20000,54,7,A_baseline_fullinput_m1,1,3,200000,,,0.8009,0.7946,,560.3
MNIST,1000,14000,784,10,A_baseline_fullinput_m1,1,1,1000,,,1.0,0.8534,,0.2
MNIST,1000,14000,784,10,A_baseline_fullinput_m1,1,2,1000,,,1.0,0.8551,,0.4
MNIST,1000,14000,784,10,A_baseline_fullinput_m1,1,3,1000,,,1.0,0.8554,,0.5
MNIST,1000,14000,784,10,B_phi_featpart,1,1,1000,10,1.0,1.0,0.8534,,0.3
MNIST,1000,14000,784,10,B_phi_featpart,1,2,1000,10,1.0,1.0,0.8565,,0.5
MNIST,1000,14000,784,10,B_phi_featpart,1,3,1000,10,1.0,1.0,0.8561,,0.5
MNIST,1000,14000,784,10,B_phi_featpart,10,1,100,100,0.0,1.0,0.8248,,0.5
MNIST,1000,14000,784,10,B_phi_featpart,10,2,100,100,0.0,1.0,0.8455,,0.8
MNIST,1000,14000,784,10,B_phi_featpart,10,3,100,100,0.0,1.0,0.8535,,1.0
MNIST,1000,14000,784,10,B_phi_featpart,50,1,20,500,0.0,1.0,0.8,,1.2
MNIST,1000,14000,784,10,B_phi_featpart,50,2,20,500,0.0,1.0,0.8021,,1.7
MNIST,1000,14000,784,10,B_phi_featpart,50,3,20,500,0.0,1.0,0.805,,2.5
MNIST,5000,14000,784,10,A_baseline_fullinput_m1,1,1,5000,,,1.0,0.905,,1.7
MNIST,5000,14000,784,10,A_baseline_fullinput_m1,1,2,5000,,,1.0,0.907,,2.6
MNIST,5000,14000,784,10,A_baseline_fullinput_m1,1,3,5000,,,1.0,0.9076,,3.6
MNIST,5000,14000,784,10,B_phi_featpart,1,1,5000,10,1.0,1.0,0.905,,1.6
MNIST,5000,14000,784,10,B_phi_featpart,1,2,5000,10,1.0,1.0,0.9073,,2.5
MNIST,5000,14000,784,10,B_phi_featpart,1,3,5000,10,1.0,1.0,0.9074,,3.3
MNIST,5000,14000,784,10,B_phi_featpart,10,1,500,100,0.0,0.9555,0.8937,,1.7
MNIST,5000,14000,784,10,B_phi_featpart,10,2,500,100,0.0,0.9789,0.901,,3.0
MNIST,5000,14000,784,10,B_phi_featpart,10,3,500,100,0.0,0.9926,0.903,,4.2
MNIST,5000,14000,784,10,B_phi_featpart,50,1,100,500,0.0,0.9997,0.8707,,8.7
MNIST,5000,14000,784,10,B_phi_featpart,50,2,100,500,0.0,0.9997,0.8689,,8.3
MNIST,5000,14000,784,10,B_phi_featpart,50,3,100,500,0.0,1.0,0.8641,,9.7
MNIST,10000,14000,784,10,A_baseline_fullinput_m1,1,1,10000,,,0.999,0.9204,,3.7
MNIST,10000,14000,784,10,A_baseline_fullinput_m1,1,2,10000,,,0.9995,0.923,,5.9
MNIST,10000,14000,784,10,A_baseline_fullinput_m1,1,3,10000,,,0.9997,0.9235,,7.2
MNIST,10000,14000,784,10,B_phi_featpart,1,1,10000,10,1.0,0.999,0.9204,,3.7
MNIST,10000,14000,784,10,B_phi_featpart,1,2,10000,10,1.0,0.9995,0.9232,,5.9
MNIST,10000,14000,784,10,B_phi_featpart,1,3,10000,10,1.0,0.9997,0.9232,,7.6
MNIST,10000,14000,784,10,B_phi_featpart,10,1,1000,100,0.0,0.9329,0.9055,,3.5
MNIST,10000,14000,784,10,B_phi_featpart,10,2,1000,100,0.0,0.9553,0.9168,,6.0
MNIST,10000,14000,784,10,B_phi_featpart,10,3,1000,100,0.0,0.9685,0.9185,,8.3
MNIST,10000,14000,784,10,B_phi_featpart,50,1,200,500,0.0,0.987,0.8993,,13.7
MNIST,10000,14000,784,10,B_phi_featpart,50,2,200,500,0.0,0.9871,0.8927,,15.6
MNIST,10000,14000,784,10,B_phi_featpart,50,3,200,500,0.0,0.9861,0.8876,,19.2
MNIST,50000,14000,784,10,A_baseline_fullinput_m1,1,1,50000,,,0.9708,0.9474,,19.1
MNIST,50000,14000,784,10,A_baseline_fullinput_m1,1,2,50000,,,0.9766,0.9513,,32.9
MNIST,50000,14000,784,10,A_baseline_fullinput_m1,1,3,50000,,,0.9778,0.9518,,42.9
MNIST,50000,14000,784,10,B_phi_featpart,1,1,50000,10,1.0,0.9708,0.9474,,19.0
MNIST,50000,14000,784,10,B_phi_featpart,1,2,50000,10,1.0,0.976,0.9509,,32.5
MNIST,50000,14000,784,10,B_phi_featpart,1,3,50000,10,1.0,0.977,0.9514,,42.1
MNIST,50000,14000,784,10,B_phi_featpart,10,1,5000,100,0.0,0.9167,0.9101,,38.1
MNIST,50000,14000,784,10,B_phi_featpart,10,2,5000,100,0.0,0.9318,0.9246,,63.4
MNIST,50000,14000,784,10,B_phi_featpart,10,3,5000,100,0.0,0.9392,0.9297,,90.7
MNIST,50000,14000,784,10,B_phi_featpart,50,1,1000,500,0.0,0.9501,0.9329,,64.8
MNIST,50000,14000,784,10,B_phi_featpart,50,2,1000,500,0.0,0.9453,0.9258,,79.7
MNIST,50000,14000,784,10,B_phi_featpart,50,3,1000,500,0.0,0.9411,0.9204,,98.5
