dataset,panel,d,n,seed,method,m,L,feeding,train_acc,train_f1,train_auc,test_acc,test_f1,test_auc,fit_time_s,timestamp
poker,gap,10,100000,1,arch,50,4,disjoint,0.5821,0.4791,,0.5613,0.1879,,480.991,2026-06-23T08:19:24.594976
poker,gap,10,100000,1,arch,50,5,disjoint,0.5831,0.5274,,0.5598,0.1926,,595.123,2026-06-23T08:29:38.712485
poker,gap,10,100000,1,arch,70,1,disjoint,0.5649,0.4582,,0.5482,0.2583,,266.071,2026-06-23T08:34:08.277843
poker,gap,10,100000,1,arch,70,2,disjoint,0.5775,0.4617,,0.5584,0.1682,,213.318,2026-06-23T08:37:50.618725
poker,gap,10,100000,1,arch,70,3,disjoint,0.5815,0.4638,,0.5582,0.1808,,244.475,2026-06-23T08:42:09.426209
poker,gap,10,100000,1,arch,70,4,disjoint,0.5823,0.5072,,0.5546,0.1715,,347.737,2026-06-23T08:48:26.448361
poker,gap,10,100000,1,arch,70,5,disjoint,0.5853,0.5455,,0.5533,0.1845,,526.486,2026-06-23T08:57:50.079999
poker,gap,10,40000,0,arch,100,1,disjoint,0.5721,0.4219,,0.5474,0.2118,,318.608,2026-06-23T09:05:20.148369
poker,gap,10,40000,0,arch,100,2,disjoint,0.5897,0.5622,,0.5549,0.2044,,197.583,2026-06-23T09:08:45.753027
poker,gap,10,40000,0,arch,100,3,disjoint,0.5964,0.5803,,0.5555,0.2245,,218.722,2026-06-23T09:12:33.438372
poker,gap,10,40000,0,arch,100,4,disjoint,0.6021,0.6157,,0.5535,0.1965,,158.894,2026-06-23T09:15:27.641699
poker,gap,10,40000,0,arch,100,5,disjoint,0.6029,0.6338,,0.5509,0.1848,,223.546,2026-06-23T09:19:39.274993
poker,gap,10,40000,1,arch,100,1,disjoint,0.5675,0.4602,,0.5443,0.2143,,340.791,2026-06-23T09:25:22.971854
poker,gap,10,40000,1,arch,100,2,disjoint,0.583,0.5988,,0.5533,0.1722,,215.659,2026-06-23T09:29:06.459969
poker,gap,10,40000,1,arch,100,3,disjoint,0.5917,0.6434,,0.5568,0.1846,,187.26,2026-06-23T09:32:25.619041
poker,gap,10,40000,1,arch,100,4,disjoint,0.5983,0.6634,,0.5556,0.206,,210.034,2026-06-23T09:36:12.135476
