dataset,n_train,arm,m,L,train_acc,acc,cos_sim
FashionMNIST,10000,B_in_dm,1,2,0.9821,0.8332,1.0
FashionMNIST,10000,B_in_dm,10,1,0.992,0.8696,0.8291
FashionMNIST,10000,B_in_dm,10,2,0.9956,0.8694,0.8291
FashionMNIST,10000,B_in_sqrt,1,1,0.8696,0.743,1.0
FashionMNIST,10000,B_in_sqrt,1,2,0.5661,0.5168,1.0
FashionMNIST,10000,B_in_sqrt,10,1,0.9841,0.8506,0.7234
FashionMNIST,10000,B_in_sqrt,10,2,0.9878,0.8415,0.7234
FashionMNIST,10000,C_splitdata_fullcols,1,1,0.9737,0.8342,1.0
FashionMNIST,10000,C_splitdata_fullcols,1,2,0.9811,0.833,1.0
FashionMNIST,10000,C_splitdata_fullcols,10,1,0.8889,0.8514,0.2825
FashionMNIST,10000,C_splitdata_fullcols,10,2,0.905,0.8554,0.2825
FashionMNIST,10000,D_dm_fullP,1,1,0.9719,0.8335,1.0
FashionMNIST,10000,D_dm_fullP,1,2,0.9795,0.8328,1.0
FashionMNIST,10000,D_dm_fullP,10,1,0.8953,0.8535,0.8232
FashionMNIST,10000,D_dm_fullP,10,2,0.9044,0.8462,0.8232
FashionMNIST,10000,D_sqrt_fullP,1,1,0.8697,0.7448,1.0
FashionMNIST,10000,D_sqrt_fullP,1,2,0.5641,0.5145,1.0
FashionMNIST,10000,D_sqrt_fullP,10,1,0.8813,0.8394,0.7074
FashionMNIST,10000,D_sqrt_fullP,10,2,0.8833,0.8265,0.7074
FashionMNIST,50000,B_in_dm,1,1,0.9073,0.8711,1.0
FashionMNIST,50000,B_in_dm,1,2,0.9135,0.8735,1.0
FashionMNIST,50000,B_in_dm,10,1,0.9286,0.8915,0.8545
FashionMNIST,50000,B_in_dm,10,2,0.9338,0.8889,0.8545
FashionMNIST,50000,B_in_sqrt,1,1,0.7965,0.766,1.0
FashionMNIST,50000,B_in_sqrt,1,2,0.5398,0.5274,1.0
FashionMNIST,50000,B_in_sqrt,10,1,0.9118,0.8716,0.7534
FashionMNIST,50000,B_in_sqrt,10,2,0.912,0.8654,0.7534
FashionMNIST,50000,C_splitdata_fullcols,1,1,0.9066,0.8715,1.0
FashionMNIST,50000,C_splitdata_fullcols,1,2,0.913,0.8739,1.0
FashionMNIST,50000,C_splitdata_fullcols,10,1,0.8871,0.8702,0.2681
FashionMNIST,50000,C_splitdata_fullcols,10,2,0.9007,0.8758,0.2681
FashionMNIST,50000,D_dm_fullP,1,1,0.906,0.8706,1.0
FashionMNIST,50000,D_dm_fullP,1,2,0.913,0.8718,1.0
FashionMNIST,50000,D_dm_fullP,10,1,0.8974,0.8763,0.8102
FashionMNIST,50000,D_dm_fullP,10,2,0.9006,0.8742,0.8102
FashionMNIST,50000,D_sqrt_fullP,1,1,0.7958,0.765,1.0
FashionMNIST,50000,D_sqrt_fullP,1,2,0.5705,0.5617,1.0
FashionMNIST,50000,D_sqrt_fullP,10,1,0.8804,0.8581,0.7044
FashionMNIST,50000,D_sqrt_fullP,10,2,0.8749,0.8468,0.7044
Gisette,2000,B_in_dm,1,1,1.0,0.9005,1.0
Gisette,2000,B_in_dm,1,2,1.0,0.8998,1.0
Gisette,2000,B_in_dm,10,1,1.0,0.9669,0.8193
Gisette,2000,B_in_dm,10,2,1.0,0.9662,0.8193
Gisette,2000,B_in_sqrt,1,1,0.9965,0.7474,1.0
Gisette,2000,B_in_sqrt,1,2,0.9963,0.7457,1.0
Gisette,2000,B_in_sqrt,10,1,1.0,0.9364,0.6105
Gisette,2000,B_in_sqrt,10,2,1.0,0.9274,0.6105
Gisette,2000,C_splitdata_fullcols,1,1,1.0,0.885,1.0
Gisette,2000,C_splitdata_fullcols,1,2,1.0,0.8855,1.0
Gisette,2000,C_splitdata_fullcols,10,1,0.9517,0.921,0.3176
Gisette,2000,C_splitdata_fullcols,10,2,0.9552,0.9188,0.3176
Gisette,2000,D_dm_fullP,1,1,1.0,0.8743,1.0
Gisette,2000,D_dm_fullP,1,2,1.0,0.876,1.0
Gisette,2000,D_dm_fullP,10,1,0.9618,0.9364,0.6527
Gisette,2000,D_dm_fullP,10,2,0.9642,0.9376,0.6527
Gisette,2000,D_sqrt_fullP,1,1,0.9967,0.7557,1.0
Gisette,2000,D_sqrt_fullP,1,2,0.9967,0.7536,1.0
Gisette,2000,D_sqrt_fullP,10,1,0.9308,0.9024,0.3938
Gisette,2000,D_sqrt_fullP,10,2,0.93,0.8931,0.3938
Gisette,5600,B_in_dm,1,1,1.0,0.9057,1.0
Gisette,5600,B_in_dm,1,2,1.0,0.9055,1.0
Gisette,5600,B_in_dm,10,1,0.9999,0.9707,0.7939
Gisette,5600,B_in_dm,10,2,0.9999,0.971,0.7939
Gisette,5600,B_in_sqrt,1,1,0.8981,0.7986,1.0
Gisette,5600,B_in_sqrt,1,2,0.899,0.7979,1.0
Gisette,5600,B_in_sqrt,10,1,0.9942,0.945,0.6227
Gisette,5600,B_in_sqrt,10,2,0.9933,0.946,0.6227
Gisette,5600,C_splitdata_fullcols,1,1,1.0,0.8979,1.0
Gisette,5600,C_splitdata_fullcols,1,2,1.0,0.8981,1.0
Gisette,5600,C_splitdata_fullcols,10,1,0.9515,0.9298,0.3594
Gisette,5600,C_splitdata_fullcols,10,2,0.9545,0.9283,0.3594
Gisette,5600,D_dm_fullP,1,1,1.0,0.9017,1.0
Gisette,5600,D_dm_fullP,1,2,1.0,0.9029,1.0
Gisette,5600,D_dm_fullP,10,1,0.9689,0.9507,0.6988
Gisette,5600,D_dm_fullP,10,2,0.9693,0.9502,0.6988
Gisette,5600,D_sqrt_fullP,1,1,0.8976,0.8129,1.0
Gisette,5600,D_sqrt_fullP,1,2,0.8977,0.8138,1.0
Gisette,5600,D_sqrt_fullP,10,1,0.9385,0.919,0.3938
Gisette,5600,D_sqrt_fullP,10,2,0.9367,0.9133,0.3938
MNIST,1000,B_in_dm,1,1,1.0,0.8534,1.0
MNIST,1000,B_in_dm,1,2,1.0,0.855,1.0
MNIST,1000,B_in_dm,10,1,1.0,0.886,0.7998
MNIST,1000,B_in_dm,10,2,1.0,0.8929,0.7998
MNIST,1000,B_in_dm,50,1,1.0,0.8376,0.2809
MNIST,1000,B_in_dm,50,2,1.0,0.8587,0.2809
MNIST,1000,B_in_sqrt,1,1,0.9203,0.5696,1.0
MNIST,1000,B_in_sqrt,1,2,0.5647,0.392,1.0
MNIST,1000,B_in_sqrt,10,1,1.0,0.8276,0.4795
MNIST,1000,B_in_sqrt,10,2,1.0,0.8122,0.4795
MNIST,1000,B_in_sqrt,50,1,1.0,0.8692,0.4781
MNIST,1000,B_in_sqrt,50,2,1.0,0.8866,0.4781
MNIST,1000,C_splitdata_fullcols,1,1,1.0,0.8533,1.0
MNIST,1000,C_splitdata_fullcols,1,2,1.0,0.8567,1.0
MNIST,1000,D_dm_fullP,1,1,1.0,0.8587,1.0
MNIST,1000,D_dm_fullP,1,2,1.0,0.8615,1.0
MNIST,1000,D_sqrt_fullP,1,1,0.9203,0.5681,1.0
MNIST,1000,D_sqrt_fullP,1,2,0.5697,0.4036,1.0
MNIST,5000,B_in_dm,1,1,1.0,0.9072,1.0
MNIST,5000,B_in_dm,1,2,1.0,0.9094,1.0
MNIST,5000,B_in_dm,10,1,1.0,0.942,0.7134
MNIST,5000,B_in_dm,10,2,1.0,0.943,0.7134
MNIST,5000,B_in_dm,50,1,1.0,0.9083,0.2218
MNIST,5000,B_in_dm,50,2,1.0,0.918,0.2218
MNIST,5000,B_in_sqrt,1,1,0.7837,0.6367,1.0
MNIST,5000,B_in_sqrt,1,2,0.5067,0.4487,1.0
MNIST,5000,B_in_sqrt,10,1,0.9985,0.8979,0.3567
MNIST,5000,B_in_sqrt,10,2,0.9993,0.8841,0.3567
MNIST,5000,B_in_sqrt,50,1,1.0,0.9284,0.355
MNIST,5000,B_in_sqrt,50,2,1.0,0.9362,0.355
MNIST,5000,C_splitdata_fullcols,1,1,1.0,0.9051,1.0
MNIST,5000,C_splitdata_fullcols,1,2,1.0,0.908,1.0
MNIST,5000,C_splitdata_fullcols,10,1,0.9573,0.8993,0.3846
MNIST,5000,C_splitdata_fullcols,10,2,0.9758,0.9134,0.3846
MNIST,5000,D_dm_fullP,1,1,1.0,0.9073,1.0
MNIST,5000,D_dm_fullP,1,2,1.0,0.9095,1.0
MNIST,5000,D_dm_fullP,10,1,0.9676,0.9086,0.7366
MNIST,5000,D_dm_fullP,10,2,0.9773,0.9048,0.7366
MNIST,5000,D_sqrt_fullP,1,1,0.7783,0.6367,1.0
MNIST,5000,D_sqrt_fullP,1,2,0.4865,0.4199,1.0
MNIST,5000,D_sqrt_fullP,10,1,0.9403,0.88,0.4251
MNIST,5000,D_sqrt_fullP,10,2,0.9309,0.8505,0.4251
MNIST,10000,B_in_dm,1,1,0.9989,0.923,1.0
MNIST,10000,B_in_dm,1,2,0.9994,0.9254,1.0
MNIST,10000,B_in_dm,10,1,0.9999,0.954,0.689
MNIST,10000,B_in_dm,10,2,0.9999,0.954,0.689
MNIST,10000,B_in_dm,50,1,0.9999,0.928,0.222
MNIST,10000,B_in_dm,50,2,1.0,0.9318,0.222
MNIST,10000,B_in_sqrt,1,1,0.7373,0.6511,1.0
MNIST,10000,B_in_sqrt,1,2,0.479,0.4476,1.0
MNIST,10000,B_in_sqrt,10,1,0.9912,0.9165,0.3535
MNIST,10000,B_in_sqrt,10,2,0.9954,0.9051,0.3535
MNIST,10000,B_in_sqrt,50,1,0.9999,0.9442,0.348
MNIST,10000,B_in_sqrt,50,2,1.0,0.9497,0.348
MNIST,10000,C_splitdata_fullcols,1,1,0.999,0.9204,1.0
MNIST,10000,C_splitdata_fullcols,1,2,0.9994,0.923,1.0
MNIST,10000,C_splitdata_fullcols,10,1,0.9472,0.9151,0.4313
MNIST,10000,C_splitdata_fullcols,10,2,0.9674,0.9282,0.4313
MNIST,10000,C_splitdata_fullcols,50,1,0.9798,0.9182,0.3847
MNIST,10000,C_splitdata_fullcols,50,2,0.9829,0.9333,0.3847
MNIST,10000,D_dm_fullP,1,1,0.999,0.9191,1.0
MNIST,10000,D_dm_fullP,1,2,0.9995,0.922,1.0
MNIST,10000,D_dm_fullP,10,1,0.9623,0.9316,0.7188
MNIST,10000,D_dm_fullP,10,2,0.9703,0.9293,0.7188
MNIST,10000,D_dm_fullP,50,1,0.9944,0.9107,0.2738
MNIST,10000,D_dm_fullP,50,2,0.9949,0.9016,0.2738
MNIST,10000,D_sqrt_fullP,1,1,0.7355,0.6498,1.0
MNIST,10000,D_sqrt_fullP,1,2,0.4594,0.4162,1.0
MNIST,10000,D_sqrt_fullP,10,1,0.9335,0.8998,0.3916
MNIST,10000,D_sqrt_fullP,10,2,0.928,0.881,0.3916
MNIST,10000,D_sqrt_fullP,50,1,0.9962,0.9178,0.4824
MNIST,10000,D_sqrt_fullP,50,2,0.9963,0.9195,0.4824
MNIST,50000,B_in_dm,1,1,0.9721,0.9487,1.0
MNIST,50000,B_in_dm,1,2,0.977,0.952,1.0
MNIST,50000,B_in_dm,10,1,0.9851,0.9696,0.6868
MNIST,50000,B_in_dm,10,2,0.9872,0.9709,0.6868
MNIST,50000,B_in_sqrt,1,1,0.6868,0.6644,1.0
MNIST,50000,B_in_sqrt,1,2,0.4518,0.4456,1.0
MNIST,50000,B_in_sqrt,10,1,0.9558,0.9388,0.374
MNIST,50000,B_in_sqrt,10,2,0.9592,0.9305,0.374
MNIST,50000,B_in_sqrt,50,1,0.9908,0.967,0.369
MNIST,50000,B_in_sqrt,50,2,0.9962,0.9692,0.369
MNIST,50000,C_splitdata_fullcols,1,1,0.9707,0.9475,1.0
MNIST,50000,C_splitdata_fullcols,1,2,0.9763,0.9515,1.0
MNIST,50000,C_splitdata_fullcols,10,1,0.9515,0.9384,0.4438
MNIST,50000,C_splitdata_fullcols,10,2,0.9645,0.949,0.4438
MNIST,50000,C_splitdata_fullcols,50,1,0.9555,0.9395,0.4319
MNIST,50000,C_splitdata_fullcols,50,2,0.9673,0.9515,0.4319
Optdigits,500,B_in_dm,1,1,1.0,0.9523,1.0
Optdigits,500,B_in_dm,1,2,1.0,0.9546,1.0
Optdigits,500,B_in_dm,10,1,1.0,0.9205,0.3223
Optdigits,500,B_in_dm,10,2,1.0,0.9345,0.3223
Optdigits,500,B_in_dm,50,1,1.0,0.8956,0.0733
Optdigits,500,B_in_dm,50,2,1.0,0.9413,0.0733
Optdigits,500,B_in_sqrt,1,1,0.8853,0.5572,1.0
Optdigits,500,B_in_sqrt,1,2,0.6373,0.4336,1.0
Optdigits,500,B_in_sqrt,10,1,1.0,0.9066,0.442
Optdigits,500,B_in_sqrt,10,2,1.0,0.9075,0.442
Optdigits,500,B_in_sqrt,50,1,1.0,0.949,0.4594
Optdigits,500,B_in_sqrt,50,2,1.0,0.9561,0.4594
Optdigits,500,C_splitdata_fullcols,1,1,1.0,0.9514,1.0
Optdigits,500,C_splitdata_fullcols,1,2,1.0,0.9523,1.0
Optdigits,500,D_dm_fullP,1,1,1.0,0.9508,1.0
Optdigits,500,D_dm_fullP,1,2,1.0,0.9505,1.0
Optdigits,500,D_sqrt_fullP,1,1,0.886,0.5543,1.0
Optdigits,500,D_sqrt_fullP,1,2,0.65,0.4232,1.0
Optdigits,1000,B_in_dm,1,1,1.0,0.9665,1.0
Optdigits,1000,B_in_dm,1,2,1.0,0.9671,1.0
Optdigits,1000,B_in_dm,10,1,1.0,0.9353,0.2936
Optdigits,1000,B_in_dm,10,2,1.0,0.9496,0.2936
Optdigits,1000,B_in_dm,50,1,1.0,0.9312,0.0752
Optdigits,1000,B_in_dm,50,2,1.0,0.9617,0.0752
Optdigits,1000,B_in_sqrt,1,1,0.818,0.6121,1.0
Optdigits,1000,B_in_sqrt,1,2,0.5747,0.4445,1.0
